start,alive,censored,median_max_ratio,n_3x,rate_3x,n_5x,rate_5x,n_10x,rate_10x,bucket
2018-09-28,432,False,1.2672255039215088,10,0.023148148148148147,4,0.009259259259259259,2,0.004629629629629629,10-50B
2018-09-28,196,False,1.2171021699905396,2,0.01020408163265306,1,0.00510204081632653,0,0.0,>50B
2019-09-27,3040,False,1.5689611434936523,454,0.1493421052631579,183,0.06019736842105263,54,0.017763157894736842,ALL
2019-09-27,95,False,2.6331589221954346,43,0.45263157894736844,26,0.2736842105263158,7,0.07368421052631578,<50M
2019-09-27,420,False,1.7019569873809814,96,0.22857142857142856,43,0.10238095238095238,18,0.04285714285714286,50-300M
2019-09-27,1033,False,1.581681489944458,173,0.16747337850919652,70,0.06776379477250725,20,0.01936108422071636,300M-2B
2019-09-27,862,False,1.536510705947876,90,0.10440835266821345,28,0.03248259860788863,5,0.00580046403712297,2-10B
2019-09-27,426,False,1.4853947162628174,32,0.07511737089201878,11,0.025821596244131457,2,0.004694835680751174,10-50B
2019-09-27,193,False,1.511744737625122,20,0.10362694300518134,5,0.025906735751295335,2,0.010362694300518135,>50B
2020-09-25,3232,False,1.9042409658432007,559,0.1729579207920792,202,0.0625,53,0.01639851485148515,ALL
2020-09-25,114,False,2.6605446338653564,50,0.43859649122807015,26,0.22807017543859648,8,0.07017543859649122,<50M
2020-09-25,521,False,2.1773860454559326,140,0.2687140115163148,56,0.10748560460652591,14,0.026871401151631478,50-300M
2020-09-25,1065,False,2.049950122833252,231,0.21690140845070421,80,0.07511737089201878,23,0.0215962441314554,300M-2B
2020-09-25,859,False,1.8256843090057373,82,0.09545983701979045,20,0.023282887077997673,2,0.002328288707799767,2-10B
2020-09-25,462,False,1.672224760055542,37,0.08008658008658008,12,0.025974025974025976,2,0.004329004329004329,10-50B
2020-09-25,201,False,1.6476902961730957,19,0.0945273631840796,8,0.03980099502487562,4,0.01990049751243781,>50B
2021-09-24,3725,False,1.1831711530685425,73,0.01959731543624161,20,0.005369127516778523,1,0.00026845637583892615,ALL
2021-09-24,64,False,1.2090003490447998,3,0.046875,1,0.015625,0,0.0,<50M
2021-09-24,435,False,1.2169309854507446,23,0.052873563218390804,7,0.016091954022988506,1,0.0022988505747126436,50-300M
2021-09-24,1183,False,1.2134146690368652,40,0.0338123415046492,9,0.0076077768385460695,0,0.0,300M-2B
2021-09-24,1153,False,1.1735669374465942,4,0.003469210754553339,2,0.0017346053772766695,0,0.0,2-10B
2021-09-24,595,False,1.1696438789367676,3,0.005042016806722689,1,0.0016806722689075631,0,0.0,10-50B
2021-09-24,284,False,1.1434986591339111,0,0.0,0,0.0,0,0.0,>50B
2022-09-30,3986,False,1.479935884475708,327,0.08203712995484194,71,0.017812343201204214,13,0.003261414952333166,ALL
2022-09-30,150,False,1.5113556385040283,15,0.1,4,0.02666666666666667,0,0.0,<50M
2022-09-30,678,False,1.5241509675979614,97,0.1430678466076696,23,0.03392330383480826,4,0.0058997050147492625,50-300M
2022-09-30,1401,False,1.4667987823486328,127,0.09064953604568166,28,0.01998572448251249,5,0.0035688793718772305,300M-2B
2022-09-30,1023,False,1.4910919666290283,58,0.056695992179863146,10,0.009775171065493646,2,0.0019550342130987292,2-10B
2022-09-30,486,False,1.4723025560379028,20,0.0411522633744856,2,0.00411522633744856,1,0.00205761316872428,10-50B
2022-09-30,235,False,1.3958425521850586,10,0.0425531914893617,4,0.01702127659574468,1,0.00425531914893617,>50B
2023-09-29,4128,False,1.496047019958496,456,0.11046511627906977,142,0.03439922480620155,38,0.009205426356589148,ALL
2023-09-29,236,False,1.607068419456482,51,0.21610169491525424,18,0.07627118644067797,6,0.025423728813559324,<50M
2023-09-29,763,False,1.6545683145523071,141,0.18479685452162517,54,0.07077326343381389,12,0.015727391874180863,50-300M
2023-09-29,1358,False,1.4543182849884033,162,0.11929307805596466,48,0.035346097201767304,10,0.007363770250368188,300M-2B
2023-09-29,1016,False,1.481057047843933,66,0.06496062992125984,13,0.012795275590551181,5,0.004921259842519685,2-10B
2023-09-29,499,False,1.4667800664901733,25,0.050100200400801605,8,0.01603206412825651,5,0.01002004008016032,10-50B
2023-09-29,242,False,1.4749704599380493,11,0.045454545454545456,1,0.004132231404958678,0,0.0,>50B
2024-09-27,4330,True,1.409616231918335,531,0.12263279445727483,193,0.044572748267898386,47,0.010854503464203233,ALL
2024-09-27,300,True,1.809709906578064,75,0.25,32,0.10666666666666667,6,0.02,<50M
2024-09-27,842,True,1.5636999607086182,138,0.16389548693586697,67,0.07957244655581948,23,0.027315914489311165,50-300M
2024-09-27,1340,True,1.4152934551239014,183,0.13656716417910447,61,0.04552238805970149,13,0.009701492537313432,300M-2B
2024-09-27,1011,True,1.3454266786575317,89,0.08803165182987141,21,0.020771513353115726,3,0.002967359050445104,2-10B
2024-09-27,541,True,1.3162568807601929,29,0.053604436229205174,5,0.009242144177449169,1,0.0018484288354898336,10-50B
2024-09-27,261,True,1.3508076667785645,14,0.05363984674329502,4,0.01532567049808429,1,0.0038314176245210726,>50B
2025-09-26,4734,True,1.2560346126556396,214,0.0452049007182087,59,0.012463033375580903,9,0.0019011406844106464,ALL
2025-09-26,428,True,1.220630407333374,38,0.08878504672897196,18,0.04205607476635514,2,0.004672897196261682,<50M
2025-09-26,972,True,1.2416125535964966,52,0.053497942386831275,16,0.01646090534979424,4,0.00411522633744856,50-300M
2025-09-26,1367,True,1.328125,80,0.058522311631309436,17,0.012435991221653255,2,0.001463057790782736,300M-2B
2025-09-26,1029,True,1.2698650360107422,27,0.026239067055393587,3,0.0029154518950437317,0,0.0,2-10B
2025-09-26,555,True,1.2177181243896484,9,0.016216216216216217,3,0.005405405405405406,1,0.0018018018018018018,10-50B
2025-09-26,270,True,1.2341294288635254,7,0.025925925925925925,1,0.003703703703703704,0,0.0,>50B
