symbol,entry_date,entry_close,peak_date,peak_close,multiple,days_to_peak,shares,entry_mcap_approx,cap_bucket
ACMR,2018-10-05,3.450000047683716,2020-08-14,34.869998931884766,10.10724592751702,679,69649195.99603322,240289729.5074471,50-300M
ACMR,2018-12-14,3.4700000286102295,2020-08-14,34.869998931884766,10.04899096379851,609,69649195.99603322,241682712.09891477,50-300M
ACMR,2019-01-18,3.256700038909912,2020-08-14,34.869998931884766,10.70715709622324,574,69649195.99603322,226826539.31032547,50-300M
ACMR,2019-10-11,4.409999847412109,2021-02-12,45.07699966430664,10.221542227662178,490,69649195.99603322,307152943.7148826,300M-2B
ACRS,2019-06-28,2.190000057220459,2021-04-09,28.959999084472656,13.223743528677618,651,147198892.96577948,322365584.0178453,300M-2B
AEHR,2019-10-11,1.7400000095367432,2021-10-08,19.440000534057617,11.172414038798376,728,32659545.99507086,56827610.342888996,50-300M
AEHR,2024-06-21,10.800000190734863,2026-06-19,115.30000305175781,10.675926019952456,728,32659545.99507086,352723102.97607934,300M-2B
AEHR,2024-09-13,12.9399995803833,2026-08-14,134.05999755859375,10.360123794889853,700,32659545.99507086,422614511.47172606,300M-2B
AEHR,2024-11-01,12.069999694824219,2026-08-14,134.05999755859375,11.106876631992005,651,32659545.99507086,394200710.1936028,300M-2B
AEHR,2025-01-17,12.460000038146973,2026-08-14,134.05999755859375,10.759229305630956,574,32659545.99507086,406937944.3444457,300M-2B
AEVA,2023-10-13,3.6010000705718994,2025-06-27,36.43000030517578,10.11663415474193,623,69705758.01576872,251010439.5340509,50-300M
AEVA,2024-04-12,3.5799999237060547,2025-06-27,36.43000030517578,10.175977955737789,441,69705758.01576872,249546608.37832475,50-300M
AEVA,2024-08-02,3.1600000858306885,2025-06-27,36.43000030517578,11.52848079610074,329,69705758.01576872,220270201.31272236,50-300M
AEVA,2025-02-28,3.5799999237060547,2025-06-27,36.43000030517578,10.175977955737789,119,69705758.01576872,249546608.37832475,50-300M
AEYE,2019-08-30,4.090000152587891,2021-02-12,42.25,10.33007296424351,532,12569673.949579831,51409968.371761546,50-300M
AEYE,2019-09-27,3.7799999713897705,2021-02-12,42.25,11.177248761847528,504,12569673.949579831,47513367.16979051,<50M
AEYE,2020-02-28,3.9600000381469727,2021-02-12,42.25,10.669191816414806,350,12569673.949579831,49775909.31983114,<50M
AGL,2026-02-13,9.024999618530273,2026-07-17,129.83999633789062,14.386703803432974,154,16791210.00473037,151540663.8873533,50-300M
AGL,2026-03-20,10.657500267028809,2026-07-17,129.83999633789062,12.182969090751762,119,16791210.00473037,178952325.1091507,50-300M
